group_id,condition,prompt_type,key_verb,afforded_text,non-afforded_text,related_text,afforded_image,non-afforded_image,related_image
1,Brad was sitting in his office when an intruder threatened him with a knife. What can Brad use to protect himself?,explicit,protect,laptop computer,paper napkin,hunting rifle,laptopcomputer_natural.jpeg,papernapkin_natural.jpeg,huntingrifle_natural.jpeg
2,Jenny started her hike in the woods before her friend Adam arrived. She left him a note explaining that she would mark her choice of direction at each intersection of paths and that he should catch up. What can Jenny use to point her path?,explicit,point,pen,nickel,string,pen_natural.jpeg,nickel_natural.jpeg,string_natural.jpeg
3,Art was having guests over for a cocktail party to show off his new furniture. At the last moment he realized that he didn't have enough coasters to protect the table tops from condensation dripping off the glasses. What can Art use to protect his table?,explicit,protect,floppy disks,pencils,old magazines,floppydisks_natural.jpeg,pencils_natural.jpeg,oldmagazines_natural.jpeg
4,"Mike was freezing while walking up State Street into a brisk wind. He knew that he had to get his face covered pretty soon or he would get frostbite. Unfortunately, he didn't have enough money to buy a scarf. What can Mike use to cover his face?",explicit,cover,newspaper,matchbook,ski-mask,newspaper_natural.jpeg,matchbook_natural.jpeg,skimask_natural.jpeg
5,"David was playing hide and seek with his son, Duncan. Where can Duncan hide?",explicit,hide,clothes dryer,cookie jar,broom closet,clothesdryer_natural.jpeg,cookiejar_natural.jpeg,broomcloset_natural.jpeg
6,"Bill was working on painting his barn. He reached most of it from the ground, but part of the wall was too high to reach without a ladder. Unfortunately, he had lent his ladder to a neighbor. What can Bill stand on instead?",explicit,stand,tractor,hammer,chair,tractor_natural.jpeg,hammer_natural.jpeg,chair_natural.jpeg
7,"Phil was trying to get a barbecue going early in the morning for a tailgater. He got dizzy from blowing on the coals, but they still weren't burning well. What can Phil use to fan the fire?",explicit,start,map,rock,bellows,map_natural.jpeg,rock_natural.jpeg,bellows_natural.jpeg
8,"Peggy was babysitting her infant nephew while she cooked dinner. He was being fussy, but she had few toys to occupy him. What can Peggy give her infant nephew to play with?",explicit,occupy,plastic spoon,large refrigerator,red beanbag,plasticspoon_natural.jpeg,largerefrigerator_natural.jpeg,redbeanbag_natural.jpeg
9,"Joe's roommates had taken all of the space in the closet, and there was no place to hang his coat. What can Joe use as a coat rack?",explicit,use,vacuum cleaner,electric outlet,door knob,vacuumcleaner_natural.jpeg,electricoutlet_natural.jpeg,doorknob_natural.jpeg
10,"Jonathan opened up his car's trunk, but the ice scraper wasn't there. What can Jonathan use to chisel an inch of ice off his windshield?",explicit,chisel,seven iron,ham sandwich,screw driver,seveniron_natural.jpeg,hamsandwich_natural.jpeg,screwdriver_natural.jpeg
