experiment,item,object,version,condition,setting,critical,central_word,distinguishing_word,notes,key inference,critical_masked,full_masked,bert_mask_all_mean,bert_mask_one_mean,bert_mask_all_sum,bert_mask_one_sum,roberta_mask_all_mean,roberta_mask_one_mean,roberta_mask_all_sum,roberta_mask_one_sum,bert_nsp,cd_cosine_bert_ln2,sc_cosine_bert_ln2,gpt3_ada_spl,gpt3_davinci_spl
1,1,-,a,afforded,Brad was sitting in his office when an intruder threatened him with a knife. ,Brad grabbed his laptop computer to use to protect himself.,protect,laptop computer,Might be missing content from setting,"laptop heavy, rigid, and can be picked up",Brad grabbed his [MASK] to use to protect himself.,Brad was sitting in his office when an intruder threatened him with a knife.  Brad grabbed his [MASK] to use to protect himself.,9.831543895691343,2.4219282060091603,19.663087791382694,14.339199998819522,21.171833404564047,4.77973333293984,63.51550021369214,14.339199998819522,0.9699257016181946,0.27200907468795776,0.07635718584060669,149.10168055002578,121.65552339963293
1,1,-,b,nonafforded,Brad was sitting in his office when an intruder threatened him with a knife. ,Brad grabbed his paper napkin to use to protect himself.,protect,paper napkin,,"napkin soft, light",Brad grabbed his [MASK] to use to protect himself.,Brad was sitting in his office when an intruder threatened him with a knife.  Brad grabbed his [MASK] to use to protect himself.,15.926102209702115,7.515859477688951,31.85220441940423,20.40005729810681,23.29166577628036,6.800019099368937,69.87499732884108,20.40005729810681,0.9647975564002992,0.28268110752105713,0.08416956663131714,149.76613067392,133.83355363151088
1,1,-,c,related,Brad was sitting in his office when an intruder threatened him with a knife. ,Brad grabbed his hunting rifle to use to protect himself.,protect,hunting rifle,,function of hunting rifle,Brad grabbed his [MASK] to use to protect himself.,Brad was sitting in his office when an intruder threatened him with a knife.  Brad grabbed his [MASK] to use to protect himself.,14.800338802750248,2.6398681493932257,29.600677605500497,24.61503248166884,21.901035613019733,8.205010827222948,65.7031068390592,24.61503248166884,0.973285675048828,0.2215457558631897,0.08547109365463257,149.7266758355148,122.76660900684531
1,2,-,a,nonafforded,Jenny started her hike in the woods before her friend Adam arrived.   She left him a note explaining that she would mark her choice of direction at each intersection of paths and that he should catch up.,"At the first intersection, Jenny pointed out the direction she turned by using a nickel that she found in her pocket.",pointed out,nickel,,"nickel small, shiny, not linear","At the first intersection, Jenny pointed out the direction she turned by using a [MASK] that she found in her pocket.","Jenny started her hike in the woods before her friend Adam arrived.   She left him a note explaining that she would mark her choice of direction at each intersection of paths and that he should catch up. At the first intersection, Jenny pointed out the direction she turned by using a [MASK] that she found in her pocket.",25.7123758001972,25.7123758001972,25.7123758001972,21.898856055252907,29.07748774094927,10.949428027626453,58.15497548189854,21.898856055252907,0.8365353345870972,0.3094410300254822,0.04527473449707031,340.53994792176206,300.1868659350411
1,2,-,b,afforded,Jenny started her hike in the woods before her friend Adam arrived.   She left him a note explaining that she would mark her choice of direction at each intersection of paths and that he should catch up.,"At the first intersection, Jenny pointed out the direction she turned by using a pen that she found in her pocket.",pointed out,pen,,pen linear,"At the first intersection, Jenny pointed out the direction she turned by using a [MASK] that she found in her pocket.","Jenny started her hike in the woods before her friend Adam arrived.   She left him a note explaining that she would mark her choice of direction at each intersection of paths and that he should catch up. At the first intersection, Jenny pointed out the direction she turned by using a [MASK] that she found in her pocket.",7.846119059170832,7.846119059170832,7.846119059170832,32.37517579655963,32.37517579655963,32.37517579655963,32.37517579655963,32.37517579655963,0.8490925431251526,0.24198848009109494,0.04028129577636719,333.4159491542695,290.5725025834994
1,2,-,c,related,Jenny started her hike in the woods before her friend Adam arrived.   She left him a note explaining that she would mark her choice of direction at each intersection of paths and that he should catch up.,"At the first intersection, Jenny pointed out the direction she turned by using a string that she found in her pocket.",pointed out,string,,string linear or can curve,"At the first intersection, Jenny pointed out the direction she turned by using a [MASK] that she found in her pocket.","Jenny started her hike in the woods before her friend Adam arrived.   She left him a note explaining that she would mark her choice of direction at each intersection of paths and that he should catch up. At the first intersection, Jenny pointed out the direction she turned by using a [MASK] that she found in her pocket.",16.39589313693609,16.39589313693609,16.39589313693609,32.61220609756863,32.61220609756863,32.61220609756863,32.61220609756863,32.61220609756863,0.7988653182983398,0.2692083716392517,0.04640001058578491,334.99279579038665,294.3653309087567
1,3,-,a,related,Art was having guests over for a cocktail party to show off his new furniture.   At the last moment he realized that he didn’t have enough coasters to protect the table tops from condensation dripping off the glasses.,"In desperation, he grabbed a bunch of old magazines that his guests could use as coasters.",coasters,old magazines,,"coasters repel water, magazines absorb water","In desperation, he grabbed a bunch of [MASK] that his guests could use as coasters.","Art was having guests over for a cocktail party to show off his new furniture.   At the last moment he realized that he didn’t have enough coasters to protect the table tops from condensation dripping off the glasses. In desperation, he grabbed a bunch of [MASK] that his guests could use as coasters.",13.62856886082508,6.326545376880892,27.25713772165016,29.381755666266603,19.70149518763645,14.690877833133301,39.4029903752729,29.381755666266603,0.934370756149292,0.2755534052848816,0.04106193780899048,297.55801246167346,224.82710127791205
1,3,-,b,afforded,Art was having guests over for a cocktail party to show off his new furniture.   At the last moment he realized that he didn’t have enough coasters to protect the table tops from condensation dripping off the glasses.,"In desperation, he grabbed a bunch of floppy disks that his guests could use as coasters.",coasters,floppy disks,,"coasters round, disks round, cups round","In desperation, he grabbed a bunch of [MASK] that his guests could use as coasters.","Art was having guests over for a cocktail party to show off his new furniture.   At the last moment he realized that he didn’t have enough coasters to protect the table tops from condensation dripping off the glasses. In desperation, he grabbed a bunch of [MASK] that his guests could use as coasters.",22.34514860444266,12.048784826893327,67.03544581332797,21.824816157830643,23.536317567959674,7.274938719276881,70.60895270387903,21.824816157830643,0.8771003484725952,0.2621572017669678,0.04874277114868164,304.1346649749498,226.21841153722943
1,3,-,c,nonafforded,Art was having guests over for a cocktail party to show off his new furniture.   At the last moment he realized that he didn’t have enough coasters to protect the table tops from condensation dripping off the glasses.,"In desperation, he grabbed a bunch of old pencils that his guests could use as coasters.",coasters,pencils,,"pencils linear, cups round, pencils don't repel water","In desperation, he grabbed a bunch of old [MASK] that his guests could use as coasters.","Art was having guests over for a cocktail party to show off his new furniture.   At the last moment he realized that he didn’t have enough coasters to protect the table tops from condensation dripping off the glasses. In desperation, he grabbed a bunch of old [MASK] that his guests could use as coasters.",19.22608984361722,9.57043660979049,38.45217968723444,30.020834405920123,20.941651819119876,10.006944801973372,62.82495545735962,30.020834405920123,0.9054436087608336,0.2032468318939209,0.044630646705627434,300.09156651707815,236.2716225677219
1,4,-,a,related,"Mike was freezing while walking up State Street into a brisk wind.  He knew that he had to get his face covered pretty soon or he would get frostbite.  Unfortunately, he didn’t have enough money to buy a scarf.","Being clever, he walked into a store and bought a ski-mask to cover his face.",face,ski-mask,,"ski-mask function, ski-mask shape","Being clever, he walked into a store and bought a [MASK] to cover his face.","Mike was freezing while walking up State Street into a brisk wind.  He knew that he had to get his face covered pretty soon or he would get frostbite.  Unfortunately, he didn’t have enough money to buy a scarf. Being clever, he walked into a store and bought a [MASK] to cover his face.",10.34335745731124,0.6699178522910977,31.030072371933716,39.80451337960288,22.663271713373828,13.268171126534293,67.9898151401215,39.80451337960288,0.9654003381729126,0.20636636018753046,0.05088514089584351,296.7820166938836,262.090042589907
