item,version,condition,setting,critical,central_word,distinguishing_word,image_natural,image_synthetic,notes,Truncated Words
1,a,afforded,Brad was sitting in his office when an intruder threatened him with a knife. ,Brad grabbed his laptop computer to use to protect himself.,protect,laptop computer,laptopcomputer_natrual.jpeg,laptopcomputer_synthetic.png,Might be missing content from setting,laptopcomputer
1,b,nonafforded,Brad was sitting in his office when an intruder threatened him with a knife. ,Brad grabbed his paper napkin to use to protect himself.,protect,paper napkin,papernapkin_natrual.jpeg,papernapkin_synthetic.png,,papernapkin
1,c,related,Brad was sitting in his office when an intruder threatened him with a knife. ,Brad grabbed his hunting rifle to use to protect himself.,protect,hunting rifle,huntingrifle_natrual.jpeg,huntingrifle_synthetic.png,,huntingrifle
2,a,nonafforded,Jenny started her hike in the woods before her friend Adam arrived.   She left him a note explaining that she would mark her choice of direction at each intersection of paths and that he should catch up.,"At the first intersection, Jenny pointed out the direction she turned by using a nickel that she found in her pocket.",pointed out,nickel,nickel_natrual.jpeg,nickel_synthetic.png,,nickel
2,b,afforded,Jenny started her hike in the woods before her friend Adam arrived.   She left him a note explaining that she would mark her choice of direction at each intersection of paths and that he should catch up.,"At the first intersection, Jenny pointed out the direction she turned by using a pen that she found in her pocket.",pointed out,pen,pen_natrual.jpeg,pen_synthetic.png,,pen
2,c,related,Jenny started her hike in the woods before her friend Adam arrived.   She left him a note explaining that she would mark her choice of direction at each intersection of paths and that he should catch up.,"At the first intersection, Jenny pointed out the direction she turned by using a string that she found in her pocket.",pointed out,string,string_natrual.jpeg,string_synthetic.png,,string
3,a,related,Art was having guests over for a cocktail party to show off his new furniture.   At the last moment he realized that he didn’t have enough coasters to protect the table tops from condensation dripping off the glasses.,"In desperation, he grabbed a bunch of old magazines that his guests could use as coasters.",coasters,old magazines,oldmagazines_natrual.jpeg,oldmagazines_synthetic.png,,oldmagazines
3,b,afforded,Art was having guests over for a cocktail party to show off his new furniture.   At the last moment he realized that he didn’t have enough coasters to protect the table tops from condensation dripping off the glasses.,"In desperation, he grabbed a bunch of floppy disks that his guests could use as coasters.",coasters,floppy disks,floppydisks_natrual.jpeg,floppydisks_synthetic.png,,floppydisks
3,c,nonafforded,Art was having guests over for a cocktail party to show off his new furniture.   At the last moment he realized that he didn’t have enough coasters to protect the table tops from condensation dripping off the glasses.,"In desperation, he grabbed a bunch of old pencils that his guests could use as coasters.",coasters,pencils,pencils_natrual.jpeg,pencils_synthetic.png,,pencils
4,a,related,"Mike was freezing while walking up State Street into a brisk wind.  He knew that he had to get his face covered pretty soon or he would get frostbite.  Unfortunately, he didn’t have enough money to buy a scarf.","Being clever, he walked into a store and bought a ski-mask to cover his face.",face,ski-mask,ski-mask_natrual.jpeg,ski-mask_synthetic.png,,ski-mask
4,b,nonafforded,"Mike was freezing while walking up State Street into a brisk wind.  He knew that he had to get his face covered pretty soon or he would get frostbite.  Unfortunately, he didn’t have enough money to buy a scarf.","Being clever, he walked into a store and bought a matchbook to cover his face.",face,matchbook,matchbook_natrual.jpeg,matchbook_synthetic.png,,matchbook
4,c,afforded,"Mike was freezing while walking up State Street into a brisk wind.  He knew that he had to get his face covered pretty soon or he would get frostbite.  Unfortunately, he didn’t have enough money to buy a scarf.","Being clever, he walked into a store and bought a newspaper to cover his face.",face,newspaper,newspaper_natrual.jpeg,newspaper_synthetic.png,,newspaper
5,a,nonafforded,"David was playing hide and seek with his son, Duncan. ",David closed his eyes and counted to ten while Duncan hid in the cookie jar.,hid,cookie jar,cookiejar_natrual.jpeg,cookiejar_synthetic.png,,cookiejar
