group_id,condition,caption,key_verb,afforded_text,non-afforded_text,related_text,afforded_image,non-afforded_image,related_image
1,Brad was sitting in his office when an intruder threatened him with a knife.,What can Brad use to protect himself?,protect,laptop computer,paper napkin,hunting rifle,laptopcomputer_synthetic.png,papernapkin_synthetic.png,huntingrifle_synthetic.png
2,Jenny started her hike in the woods before her friend Adam arrived. She left him a note explaining that she would mark her choice of direction at each intersection of paths and that he should catch up.,What can Jenny use to mark path?,mark,pen,nickel,string,pen_synthetic.png,nickel_synthetic.png,string_synthetic.png
3,Art was having guests over for a cocktail party to show off his new furniture. At the last moment he realized that he didn't have enough coasters to protect the table tops from condensation dripping off the glasses.,What can Art use to protect his table?,protect,floppy disks,pencils,old magazines,floppydisks_synthetic.png,pencils_synthetic.png,oldmagazines_synthetic.png
4,"Mike was freezing while walking up State Street into a brisk wind. He knew that he had to get his face covered pretty soon or he would get frostbite. Unfortunately, he didn't have enough money to buy a scarf.",What can Mike use to cover his face?,cover,newspaper,matchbook,ski-mask,newspaper_synthetic.png,matchbook_synthetic.png,skimask_synthetic.png
5,"David was playing hide and seek with his son, Duncan. Duncan need to hide somwhere.",Where can Duncan hide at?,hide in,clothes dryer,cookie jar,broom closet,clothesdryer_synthetic.png,cookiejar_synthetic.png,broomcloset_synthetic.png
6,"Bill was working on painting his barn. He reached most of it from the ground, but part of the wall was too high to reach without a ladder. Unfortunately, he had lent his ladder to a neighbor.",What can Bill use to reach the height?,reach,tractor,hammer,chair,tractor_synthetic.png,hammer_synthetic.png,chair_synthetic.png
7,"Phil was trying to get a barbecue going early in the morning for a tailgater. He got dizzy from blowing on the coals, but they still weren't burning well.",What can Phil use to start the fire,start,map,rock,bellows,map_synthetic.png,rock_synthetic.png,bellows_synthetic.png
8,"Peggy was babysitting her infant nephew while she cooked dinner. He was being fussy, but she had few toys to occupy him.",What can Peggy use to occupy her infant nephew?,occupy,plastic spoon,large refrigerator,red beanbag,plasticspoon_synthetic.png,largerefrigerator_synthetic.png,redbeanbag_synthetic.png
9,"Joe's roommates had taken all of the space in the closet, and there was no place to hang his coat.",What can Joe use as a coat rack?,use,vacuum cleaner,electric outlet,door knob,vacuumcleaner_synthetic.png,electricoutlet_synthetic.png,doorknob_synthetic.png
10,"Jonathan opened up his car's trunk, but the ice scraper wasn't there.",What can Jonathan use to chisel an inch of ice off his windshield?,chisel,seven iron,ham sandwich,screw driver,seveniron_synthetic.png,hamsandwich_synthetic.png,screwdriver_synthetic.png
11,"After taking a shower at the gym, Sarah discovered that her skirt needed to be pressed free of wrinkles before she returned to work.",What can Sarah use to pressed free of wrinkles on her skirt?,press,warm thermos,hair pin,hair dryer,warmthermos_synthetic.png,hairpin_synthetic.png,hairdryer_synthetic.png
12,"When Aaron got to work at McDonald's he realized that he forgot his cap at home. The manager had a strict rule: If your hair isn't covered, you cannot work.",What can Aaron use to cover his hair?,cover,sandwich wrapper,hamburger bun,shower cap,sandwichwrapper_synthetic.png,hamburgerbun_synthetic.png,showercap_synthetic.png
13,Marissa forgot to bring her pillow on her camping trip.,What can Marissa use as a pillow?,use,leaves,water,clothes,leaves_synthetic.png,water_synthetic.png,clothes_synthetic.png
14,"After wading barefoot in the lake, Erik needed something to get dry.",What can Erik use to dry himself up?,dry,shirt,glasses,towel,shirt_synthetic.png,glasses_synthetic.png,towel_synthetic.png
15,"While taking a walk, Colleen ran into an old friend that she hadn't seen in over a year. They exchanged phone numbers, but Colleen couldn't find anything in her purse to write the number on.",What can Colleen use to write down the phone numbers?,write,popsicle stick,bent earring,note pad,popsiclestick_synthetic.png,bentearring_synthetic.png,notepad_synthetic.png
16,Harry accidentally dropped his book behind his bed. He couldn't reach it with his hand.,What can Harry use to reach his book?,reach,rolled paper,smelly sock,mop handle,rolledpaper_synthetic.png,smellysock_synthetic.png,mophandle_synthetic.png
17,"Janet was teaching her class and desperately needed to draw on the blackboard, but as usual, the janitorial staff had forgotten to put fresh supplies in the classroom.",What can Janet use to draw on the blackboard?,draw,rice,water,chalk,rice_synthetic.png,water_synthetic.png,chalk_synthetic.png
18,"Judy was trying to complete the Xeroxing using the machine in the hallway, but people kept asking her if they could cut in to make a few copies.",Where can Judy move the Xerox machine to for more private use?,move to,the lavatory,her mailbox,her office,thelavatory_synthetic.png,hermailbox_synthetic.png,heroffice_synthetic.png
