sentence_a,object,sentence_b,image_a,image_b
The lumberjack left his axe sticking in the top of the stump after winning the axe toss. ,axe,The lumberjack left his axe sticking in the side of the stump after winning the axe toss. ,axeH.jpg,axeV.jpg
Derek swung his bat as the ball approached. ,bat,Derek held his bat high as the ball approached. ,batH.jpg,batV.jpg
The librarian put the book back on the table. ,book,The librarian put the book back on the shelf.,bookH.jpg,bookV.jpg
"Jessica stuck the bottle in the wine rack, anticipating a romantic evening.",bottle,"Jessica stuck the bottle in the ice, anticipating a romantic evening.",bottleH.jpg,bottleV.jpg
James placed the bowl into an open space in the cabinet. ,bowl,James placed the bowl into an open slot in the dishwasher. ,bowlH.jpg,bowlV.jpg
"Janie grabbed the broom and rode it around the house, pretending it was her horse. ",broom,"Janie grabbed the broom and swept the house, pretending she was Cinderella. ",broomH.jpg,broomV.jpg
"The teenager placed her brush in the bottom of her bag, looking forward to the party. ",brush,"The teenager held her brush up like a microphone, pretending to be a famous rock star. ",brushH.jpg,brushV.jpg
The toddler drew a kitty cat with his crayon on his bedroom door. ,crayon,The toddler drew a kitty cat with his crayon on his bedroom floor.,crayonH.jpg,crayonV.jpg
Laura threw the decoration in the drawer with the clothespin. ,decoration,Laura hung the decoration on the line with the clothespin. ,decorationH.jpg,decorationV.jpg
The hunter shone the flashlight into the mouth of the cavern. ,flashlight,The hunter shone the flashlight onto the floor of the cavern. ,flashlightH.jpg,flashlightV.jpg
The race car driver fastened the fire-extinguisher under his seat.,frxtinguisher,The race car driver fastened the fire-extinguisher onto the garage wall. ,frxtinguisherH.jpg,frxtinguisherV.jpg
The waiter knocked over the wineglass while admiring Maureen's gown. ,glass,The waiter filled the wineglass while admiring Maureen's gown.,glassH.jpg,glassV.jpg
Mick strummed his guitar as he warmed up for the concert. ,guitar,Mick set his guitar on the rack as he warmed up for the concert. ,guitarH.jpg,guitarV.jpg
Annie raised the gun to fire at the target.,gun,Annie lowered the gun to place it in the holster.,gunH.jpg,gunV.jpg
"Frank pressed the iron onto his pants, hoping he wouldn't be late. ",iron,"Frank placed the iron onto the shelf, hoping he wouldn't be late. ",ironH.jpg,ironV.jpg
The lab assistant put the key to the monkey cage in the lock. ,key,The lab assistant put the key to the monkey cage on the hook. ,keyH.jpg,keyV.jpg
The carpenter hammered the nail into the wall.,nail,The carpenter hammered the nail into the floor plank.,nailH.jpg,nailV.jpg
The accountant stuck his pen behind his ear.,pen,The accountant stuck his pen into his pocket protector. ,penH.jpg,penV.jpg
Rick hurriedly stuck his pencil in the desk drawer. ,pencil,Rick hurriedly stuck his pencil in the coffee mug. ,pencilH.jpg,pencilV.jpg
Sara situated the expensive plate on its mat on the table.,plate,Sara situated the expensive plate on its holder on the shelf.,plateH.jpg,plateV.jpg
The anxious little boy knocked the salt shaker over onto the table.,salt,The anxious little boy placed the salt shaker onto the table.,saltH.jpg,saltV.jpg
Becca used the scissors to carve her initials into the tree.,scissors,Becca used the scissors to carve her initials into the wet concrete.,scissorsH.jpg,scissorsV.jpg
Jim prepared to insert the screw into the side of the cabinet. ,screw,Jim prepared to insert the screw into the top of the cabinet. ,screwH.jpg,screwV.jpg
The young husband prepared to place the spare tire into the trunk. ,wheel,The young husband prepared to place the spare tire onto the wheel.,wheelH.jpg,wheelV.jpg
